Player,Team,Age,Pos,Height,Weight,GP,PTS,REB,AST
Marvin Bagley III,MEM,26,PF / C,6-10,235,12,3.6,2.3,0.3
Santi Aldama,MEM,24,PF / C,7-0,215,65,12.5,6.4,2.9
Scotty Pippen Jr.,MEM,24,PG,6-1,170,79,9.9,3.3,4.4
Vince Williams Jr.,MEM,24,SF / SG,6-4,205,27,6.6,3.6,2
Yuki Kawamura,MEM,24,PG,5-8,159,22,1.6,0.5,0.9
Zach Edey,MEM,23,C,7-4,305,66,9.2,8.3,1
Zyon Pullin,MEM,24,PG / SG,6-4,206,3,0,0,0
Alec Burks,MIA,33,SG / SF,6-5,214,49,7.3,2.5,1.1
Andrew Wiggins,MIA,30,SF / SG,6-7,197,17,19,4.2,3.3
Bam Adebayo,MIA,27,C / PF,6-9,255,78,18.1,9.6,4.3
Davion Mitchell,MIA,26,PG,6-0,202,30,10.3,2.7,5.3
Dru Smith,MIA,27,SG / PG,6-2,203,14,6.2,2.6,1.6
Duncan Robinson,MIA,31,SG / SF,6-7,215,74,11,2.3,2.4
Haywood Highsmith,MIA,28,SF / PF,6-5,220,74,6.5,3.4,1.5
Isaiah Stevens,MIA,24,PG,6-0,185,3,0,0.7,0
Jaime Jaquez Jr.,MIA,24,SF / PF,6-6,225,66,8.6,4.4,2.5
Jimmy Butler III,GSW,35,SF / SG,6-7,230,25,17,5.2,4.8
Josh Christopher,MIA,23,SG,6-4,215,14,2,0.6,0.6
Josh Richardson,MIA,31,SG / PG,6-5,200,8,4,1.5,1.5
Kel'el Ware,MIA,21,C / PF,7-0,230,64,9.3,7.4,0.9
Keshad Johnson,MIA,24,PF / SF,6-7,225,16,2.7,1.8,0.3
Kevin Love,MIA,36,PF / C,6-8,251,23,5.3,4.1,1
Kyle Anderson,MIA,31,PF / SF,6-9,230,25,6.7,3.8,2.6
Nikola Jović,MIA,22,SF / PF,6-10,205,46,10.7,3.9,2.8
Pelle Larsson,MIA,24,SG / SF,6-5,215,55,4.6,1.7,1.2
Terry Rozier,MIA,31,PG / SG,6-1,190,64,10.6,3.7,2.6
Thomas Bryant,IND,27,C,6-10,248,10,4.1,3.2,0.4
Tyler Herro,MIA,25,SG / PG,6-5,195,77,23.9,5.2,5.5
AJ Green,MIL,25,SG,6-4,190,73,7.4,2.4,1.5
AJ Johnson,WAS,20,PG / SG,6-5,160,7,2.9,1,1
Andre Jackson Jr.,MIL,23,SG / SF,6-6,209,67,3.4,2.7,1.2
Bobby Portis,MIL,30,PF / C,6-10,250,49,13.9,8.4,2.1
Brook Lopez,MIL,37,C,7-1,282,80,13,5,1.8
